	lemma	pos	abs_freq	rel_freq
385	Sieg	NN	25	0.00022648415063913828
386	bekommen	VVINF	25	0.00022648415063913828
387	legen	VVFIN	25	0.00022648415063913828
388	e	NE	25	0.00022648415063913828
389	deshalb	PROAV	25	0.00022648415063913828
390	meist	ADV	25	0.00022648415063913828
391	Landkreis	NN	25	0.00022648415063913828
392	tatsächlich	ADJD	25	0.00022648415063913828
393	zwar	ADV	24	0.00021742478461357273
394	wichtig	ADJD	24	0.00021742478461357273
395	rollen	VVFIN	24	0.00021742478461357273
396	Staat	NN	24	0.00021742478461357273
397	Markt	NN	24	0.00021742478461357273
398	Prozeß	NN	24	0.00021742478461357273
399	Information	NN	24	0.00021742478461357273
400	Projekt	NN	24	0.00021742478461357273
401	Tor	NN	24	0.00021742478461357273
402	erfolgen	VVFIN	24	0.00021742478461357273
403	international	ADJA	24	0.00021742478461357273
404	erneut	ADJD	24	0.00021742478461357273
405	tun	VVINF	24	0.00021742478461357273
406	zehn	CARD	24	0.00021742478461357273
407	Plattform	NN	24	0.00021742478461357273
408	Serie	NN	24	0.00021742478461357273
409	rund	ADJA	24	0.00021742478461357273
410	oft	ADV	24	0.00021742478461357273
411	Initiative	NN	24	0.00021742478461357273
412	Mitarbeiter	NN	23	0.0002083654185880072
413	fallen	VVFIN	23	0.0002083654185880072
414	Geld	NN	23	0.0002083654185880072
415	neu	ADJD	23	0.0002083654185880072
416	spielen	VVINF	23	0.0002083654185880072
417	knapp	ADJD	23	0.0002083654185880072
418	Mannschaft	NN	23	0.0002083654185880072
419	gerade	ADV	23	0.0002083654185880072
420	europäisch	ADJA	23	0.0002083654185880072
421	bestehen	VVFIN	23	0.0002083654185880072
422	tagen	VVFIN	23	0.0002083654185880072
423	gleich	ADJD	23	0.0002083654185880072
424	Bundesliga	NN	23	0.0002083654185880072
425	nacht	PTKVZ	23	0.0002083654185880072
426	mögen	VMFIN	23	0.0002083654185880072
427	gegenüber	APPR	23	0.0002083654185880072
428	schwer	ADJA	23	0.0002083654185880072
429	bad	FM	23	0.0002083654185880072
430	besonders	ADV	23	0.0002083654185880072
431	Plan	NN	23	0.0002083654185880072
432	fehlen	VVFIN	22	0.00019930605256244168
433	arbeiten	VVINF	22	0.00019930605256244168
434	besonder	ADJA	22	0.00019930605256244168
435	’	XY	22	0.00019930605256244168
436	mindestens	ADV	22	0.00019930605256244168
437	Cdu	NE	22	0.00019930605256244168
438	nie	ADV	22	0.00019930605256244168
439	August	NE	22	0.00019930605256244168
440	daran	PROAV	22	0.00019930605256244168
441	Arbeit	NN	22	0.00019930605256244168
442	politisch	ADJA	22	0.00019930605256244168
443	möglich	ADJA	22	0.00019930605256244168
444	eigentlich	ADV	22	0.00019930605256244168
445	Angebot	NN	22	0.00019930605256244168
446	Januar	NN	22	0.00019930605256244168
447	führen	VVINF	22	0.00019930605256244168
448	meiste	PIAT	22	0.00019930605256244168
449	du	PRF	22	0.00019930605256244168
450	fallen|fällen	VVFIN	22	0.00019930605256244168
451	Stimmung	NN	22	0.00019930605256244168
452	Wochenende	NN	21	0.00019024668653687616
453	bald	ADV	21	0.00019024668653687616
454	gar	ADV	21	0.00019024668653687616
455	erwarten	VVPP	21	0.00019024668653687616
456	stimmen	VVFIN	21	0.00019024668653687616
457	Produkt	NN	21	0.00019024668653687616
458	sogenannt	ADJA	21	0.00019024668653687616
459	acht	CARD	21	0.00019024668653687616
460	Afd	NE	21	0.00019024668653687616
461	leicht	ADJD	21	0.00019024668653687616
462	dritt	ADJA	21	0.00019024668653687616
463	kommen	VVPP	21	0.00019024668653687616
464	halten	VVINF	21	0.00019024668653687616
465	Juli	NN	21	0.00019024668653687616
466	anschließend	ADJD	21	0.00019024668653687616
467	reden	VVFIN	21	0.00019024668653687616
468	Opfer	NN	21	0.00019024668653687616
469	haus	PTKVZ	21	0.00019024668653687616
470	Gruppe	NN	21	0.00019024668653687616
471	Krankenhaus	NN	21	0.00019024668653687616
472	Besucher	NN	21	0.00019024668653687616
473	Bremen	NE	21	0.00019024668653687616
474	direkt	ADJD	20	0.0001811873205113106
475	ihr	PPER	20	0.0001811873205113106
476	bringen	VVFIN	20	0.0001811873205113106
477	Musik	NN	20	0.0001811873205113106
478	zeigen	VVINF	20	0.0001811873205113106
479	sieben	CARD	20	0.0001811873205113106
480	sozial	ADJA	20	0.0001811873205113106
481	angesichts	APPR	20	0.0001811873205113106
482	sitzen	VVFIN	20	0.0001811873205113106
483	Sommer	NN	20	0.0001811873205113106
484	abend	ADV	20	0.0001811873205113106
485	gelingen	VVFIN	20	0.0001811873205113106
486	Entwicklung	NN	20	0.0001811873205113106
487	halten	VVFIN	20	0.0001811873205113106
488	zunächst	ADV	20	0.0001811873205113106
489	b	NE	20	0.0001811873205113106
490	tv	NE	20	0.0001811873205113106
491	Umfrage	NN	20	0.0001811873205113106
492	halb	ADJA	20	0.0001811873205113106
493	mittlerweile	ADV	20	0.0001811873205113106
494	&	KON	20	0.0001811873205113106
495	leider	ADV	20	0.0001811873205113106
496	freiwillig	ADJA	20	0.0001811873205113106
497	fallen|gefallen	VVPP	19	0.00017212795448574508
498	bislang	ADV	19	0.00017212795448574508
499	Sache	NN	19	0.00017212795448574508
500	erstmals	ADV	19	0.00017212795448574508
501	Detail	NN	19	0.00017212795448574508
502	Spieler	NN	19	0.00017212795448574508
503	Gericht	NN	19	0.00017212795448574508
504	zumindest	ADV	19	0.00017212795448574508
505	weisen	VVFIN	19	0.00017212795448574508
506	treten	VVFIN	19	0.00017212795448574508
507	offenbar	ADJD	19	0.00017212795448574508
508	Kandidat	NN	19	0.00017212795448574508
509	Programm	NN	19	0.00017212795448574508
510	kaum	ADV	19	0.00017212795448574508
511	wissen	VVFIN	19	0.00017212795448574508
512	November	NN	19	0.00017212795448574508
513	paar	PIAT	19	0.00017212795448574508
514	Trend	NN	19	0.00017212795448574508
515	Diskussion	NN	19	0.00017212795448574508
516	Zukunft	NN	19	0.00017212795448574508
517	weit	ADJD	19	0.00017212795448574508
518	genau	ADJA	19	0.00017212795448574508
519	innerhalb	APPR	18	0.00016306858846017956
520	Verein	NN	18	0.00016306858846017956
521	kurz	ADJA	18	0.00016306858846017956
522	lieb	ADJA	18	0.00016306858846017956
523	eher	ADV	18	0.00016306858846017956
524	Anfang	NN	18	0.00016306858846017956
525	darüber	PROAV	18	0.00016306858846017956
526	Microsoft	NE	18	0.00016306858846017956
527	dank	APPR	18	0.00016306858846017956
528	Funktion	NN	18	0.00016306858846017956
529	Stuttgart	NE	18	0.00016306858846017956
530	Hamburg	NE	18	0.00016306858846017956
531	baden	VVINF	18	0.00016306858846017956
532	innen	ADJD	18	0.00016306858846017956
533	rennen	VVINF	18	0.00016306858846017956
534	anders	ADV	18	0.00016306858846017956
535	alternativ	ADJA	18	0.00016306858846017956
536	Richtung	NN	18	0.00016306858846017956
537	versuchen	VVFIN	18	0.00016306858846017956
538	Grund	NN	18	0.00016306858846017956
539	Fahrzeug	NN	18	0.00016306858846017956
540	Raum	NN	18	0.00016306858846017956
541	links	ADV	18	0.00016306858846017956
542	Haus	NN	18	0.00016306858846017956
543	recht	ADJD	18	0.00016306858846017956
544	zahlreich	ADJA	18	0.00016306858846017956
545	Bürger	NN	18	0.00016306858846017956
546	Bahn	NN	18	0.00016306858846017956
547	groß	ADJD	18	0.00016306858846017956
548	art	FM	18	0.00016306858846017956
549	finden	VVPP	18	0.00016306858846017956
550	Österreich	NE	18	0.00016306858846017956
551	zählen	VVFIN	18	0.00016306858846017956
552	zentral	ADJA	18	0.00016306858846017956
553	ebenso	ADV	18	0.00016306858846017956
554	Nachricht	NN	18	0.00016306858846017956
555	Putin	NE	18	0.00016306858846017956
556	grundsätzlich	ADJD	17	0.00015400922243461403
557	schreiten	VVFIN	17	0.00015400922243461403
558	lang	ADJA	17	0.00015400922243461403
559	früh	ADJA	17	0.00015400922243461403
560	Tochter	NN	17	0.00015400922243461403
561	allein	ADV	17	0.00015400922243461403
562	per	APPR	17	0.00015400922243461403
563	herrschen	VVFIN	17	0.00015400922243461403
564	Norden	NN	17	0.00015400922243461403
565	Star	NE	17	0.00015400922243461403
566	Michael	NE	17	0.00015400922243461403
567	betroffen	ADJA	17	0.00015400922243461403
568	Leistung	NN	17	0.00015400922243461403
569	UNKNOWN	VVPP	17	0.00015400922243461403
570	bleiben	VVINF	17	0.00015400922243461403
571	einzig	ADJA	17	0.00015400922243461403
572	st	NE	17	0.00015400922243461403
573	Dezember	NN	17	0.00015400922243461403
574	morgen	ADV	17	0.00015400922243461403
575	betreiben	VVFIN	17	0.00015400922243461403
576	wert	ADJD	17	0.00015400922243461403
577	betonen	VVFIN	17	0.00015400922243461403
578	Reaktion	NN	17	0.00015400922243461403
579	derweil	ADV	17	0.00015400922243461403
580	Experte	NN	16	0.0001449498564090485
581	Kollege	NN	16	0.0001449498564090485
582	warten	VVINF	16	0.0001449498564090485
583	Schweiz	NE	16	0.0001449498564090485
584	Maßnahme	NN	16	0.0001449498564090485
585	Politik	NN	16	0.0001449498564090485
586	erreichen	VVINF	16	0.0001449498564090485
587	bringen	VVINF	16	0.0001449498564090485
588	the	FM	16	0.0001449498564090485
589	klar	ADJA	16	0.0001449498564090485
590	Auge	NN	16	0.0001449498564090485
591	Show	NN	16	0.0001449498564090485
592	teilen	VVINF	16	0.0001449498564090485
593	Sachsen	NE	16	0.0001449498564090485
594	Ministerpräsident	NN	16	0.0001449498564090485
595	Wohnung	NN	16	0.0001449498564090485
596	erzählen	VVFIN	16	0.0001449498564090485
597	verhindern	VVINF	16	0.0001449498564090485
598	Neo	NN	16	0.0001449498564090485
599	top	NE	16	0.0001449498564090485
600	Lösung	NN	16	0.0001449498564090485
601	hinter	APPR	16	0.0001449498564090485
602	preis	PTKVZ	16	0.0001449498564090485
603	Franken	NN	16	0.0001449498564090485
604	Publikum	NN	16	0.0001449498564090485
605	Unfall	NN	16	0.0001449498564090485
606	online	ADJD	16	0.0001449498564090485
607	Martin	NE	16	0.0001449498564090485
608	erhalten	VVFIN	16	0.0001449498564090485
609	glauben	VVFIN	16	0.0001449498564090485
610	Lage	NN	16	0.0001449498564090485
611	Gebäude	NN	16	0.0001449498564090485
612	Union	NE	16	0.0001449498564090485
613	obwohl	KOUS	16	0.0001449498564090485
614	weiß	ADJA	16	0.0001449498564090485
615	Kritik	NN	16	0.0001449498564090485
616	Unterstützung	NN	16	0.0001449498564090485
617	starten	VVFIN	16	0.0001449498564090485
618	gemäß	APPR	16	0.0001449498564090485
619	sechs	CARD	15	0.00013589049038348295
620	künstlich	ADJA	15	0.00013589049038348295
621	Gespräch	NN	15	0.00013589049038348295
622	Bericht	NN	15	0.00013589049038348295
623	Linie	NN	15	0.00013589049038348295
624	Sicherheit	NN	15	0.00013589049038348295
